Le Basi,,Presente,,,,,,Perfetto,,Gerundio,Imperfetto,,,,,,Passato Remoto,,,,,,Futuro,,,,,,Congiuntivo (Presente),,,,,,Congiuntivo (Imperfetto),,,,,,Condizionale,,,,,,Imperativo,,,,,Values,,,,,
Verbi (inf.),Significato,io,tu,lui/lei,noi,voi,loro,Ausiliario,Participio,Tutto,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,tu,lui/lei,noi,voi,loro,conj.,PR regolare,futuro regolare,part. regolare,Fondamentale,Reverso
ringraziare,to thank,ringrazio,ringrazi,ringranzia,ringraziamo,ringraziate,ringranziano,avere,ringraziato,ringraziando,ringraziavo,ringraziavi,ringraziava,ringraziavamo,ringraziavate,ringraziavano,ringraziai,ringraziasti,ringraziò,ringraziammo,ringraziaste,ringraziarono,ringrazierò,ringrazierai,ringrazierà,ringranzieremo,ringrazierete,ringrazieranno,ringrazi,ringrazi,ringrazi,ringraziamo,ringraziate,ringrazino,ringraziassi,ringraziassi,ringraziasse,ringraziassimo,ringraziaste,ringraziassero,ringrazierei,ringrazieresti,ringrazierebbe,ringrazieremmo,ringraziereste,ringrazierebbero,ringrazia,ringrazi,ringraziamo,ringriziate,ringrazino,are,Y,Y,Y,Y,130
rinnegare,"to deny, renounce",rinnego,rinneghi,rinnega,rinneghiamo,rinnegate,rinnegano,avere,rinnegato,rinnegando,rinnegavo,rinnegavi,rinnegava,rinnegavamo,rinnegavate,rinnegavano,rinnegai,rinnegasti,rinnegò,rinnegammo,rinnegaste,rinnegarono,rinnegherò,rinnegherai,rinnegherà,rinnegheremo,rinnegherete,rinnegheranno,rinneghi,rinneghi,rinneghi,rinneghiamo,rinneghiate,rinneghino,rinnegassi,rinnegassi,rinnegasse,rinnegassimo,rinnegaste,rinnegassero,rinnegherei,rinnegheresti,rinnegherebbe,rinnegheremmo,rinneghereste,rinnegherebbero,rinnega,rinneghi,rinneghiamo,rinnegate,rinneghino,are,Y,Y,Y,N,1247
rinnovare,"to renovate, renew",rinnovo,rinnovi,rinnova,rinnoviamo,rinnovate,rinnovano,avere,rinnovato,rinnovando,rinnovavo,rinnovavi,rinnovava,rinnovavamo,rinnovavate,rinnovavano,rinnovai,rinnovasti,rinnovò,rinnovammo,rinnovaste,rinnovarono,rinnoverò,rinnoverai,rinnoverà,rinnoveremo,rinnoverete,rinnoveranno,rinnovi,rinnovi,rinnovi,rinnoviamo,rinnoviate,rinnovino,rinnovassi,rinnovassi,rinnovasse,rinnovassimo,rinnovaste,rinnovassero,rinnoverei,rinnoveresti,rinnoverebbe,rinnoveremmo,rinnovereste,rinnoverebbero,rinnova,rinnovi,rinnoviamo,rinnovate,rinnovino,are,Y,Y,Y,N,460
rinsaldare,"to strengthen, reinforce",rinsaldo,rinsaldi,rinsalda,rinsaldiamo,rinsaldate,rinsaldano,avere,rinsaldato,rinsaldando,rinsaldavo,rinsaldavi,rinsaldava,rinsaldavamo,rinsaldavate,rinsaldavano,rinsaldai,rinsaldasti,rinsaldò,rinsaldammo,rinsaldaste,rinsaldarono,rinsalderò,rinsalderai,rinsalderà,rinsalderemo,rinsalderete,rinsalderanno,rinsaldi,rinsaldi,rinsaldi,rinsaldiamo,rinsaldiate,rinsaldino,rinsaldassi,rinsaldassi,rinsaldasse,rinsaldassimo,rinsaldaste,rinsaldassero,rinsalderei,rinsalderesti,rinsalderebbe,rinsalderemmo,rinsaldereste,rinsalderebbero,rinsalda,rinsaldi,rinsaldiamo,rinsaldate,rinsaldino,are,Y,Y,Y,N,1791
rintracciare,"to trace, track",rintraccio,rintracci,rintraccia,rintracciamo,rintracciate,rintracciano,avere,rintracciato,rintracciando,rintracciavo,rintracciavi,rintracciava,rintracciavamo,rintracciavate,rintracciavano,rintracciai,rintracciasti,rintracciò,rintracciammo,rintracciaste,rintracciarono,rintraccerò,rintraccerai,rintraccerà,rintracceremo,rintraccerete,rintracceranno,rintracci,rintracci,rintracci,rintracciamo,rintracciate,rintraccino,rintracciassi,rintracciassi,rintracciasse,rintracciassimo,rintracciaste,rintracciassero,rintraccerei,rintracceresti,rintraccerebbe,rintracceremmo,rintraccereste,rintraccerebbero,rintraccia,rintracci,rintracciamo,rintracciate,rintraccino,are,Y,Y,Y,N,518
rinunciare,"to give up, renounce",rinuncio,rinunci,rinuncia,rinunciamo,rinunciate,rinunciano,avere,rinunciato,rinunciando,rinunciavo,rinunciavi,rinunciava,rinunciavamo,rinunciavate,rinunciavano,rinunciai,rinunciasti,rinunciò,rinunciammo,rinunciaste,rinunciarono,rinuncerò,rinuncerai,rinuncerà,rinunceremo,rinuncerete,rinunceranno,rinunci,rinunci,rinunci,rinunciamo,rinunciate,rinuncino,rinunciassi,rinunciassi,rinunciasse,rinunciassimo,rinunciaste,rinunciassero,rinuncerei,rinunceresti,rinuncerebbe,rinunceremmo,rinuncereste,rinuncerebbero,rinuncia,rinunci,rinunciamo,rinunciate,rinuncino,are,Y,Y,Y,Y,308
rinvenire,"to find, revive, rediscover",rinvengo,rinvieni,rinviene,rinveniamo,rinvenite,rinvengono,avere,rinvenuto,rinvenendo,rinvenivo,rinvenivi,rinveniva,rinvenivamo,rinvenivate,rinvenivano,rinvenni,rinvenisti,rinvenne,rinvenimmo,rinveniste,rinvennero,rinverrò,rinverrai,rinverrà,rinverremo,rinverrete,rinverranno,rinvenga,rinvenga,rinvenga,rinveniamo,rinveniate,rinvengano,rinvenissi,rinvenissi,rinvenisse,rinvenissimo,rinveniste,rinvenissero,rinverrei,rinverresti,rinverrebbe,rinverremmo,rinverreste,rinverrebbero,rinvieni,rinvenga,rinveniamo,rinvenite,rinvengano,ire 1 irr,N,N,Y,N,N
rinviare,"to postpone, refer",rinvio,rinvii,rinvia,rinviamo,rinviate,rinviano,avere,rinviato,rinviando,rinviavo,rinviavi,rinviava,rinviavamo,rinviavate,rinviavano,rinviai,rinviasti,rinviò,rinviammo,rinviaste,rinviarono,rinvierò,rinvierai,rinvierà,rinvieremo,rinvierete,rinvieranno,rinvii,rinvii,rinvii,rinviamo,rinviate,rinviino,rinviassi,rinviassi,rinviasse,rinviassimo,rinviaste,rinviassero,rinvierei,rinvieresti,rinvierebbe,rinvieremmo,rinviereste,rinvierebbero,rinvia,rinvii,rinviamo,rinviate,rinviino,are,Y,Y,Y,N,603
rinvigorire,to reinvigorate,rinvigorisco,rinvigorisci,rinvigorisce,rinvigoriamo,rinvigorite,rinvigoriscono,avere/essere,rinvigorito,rinvigorendo,rinvigorivo,rinvigorivi,rinvigoriva,rinvigorivamo,rinvigorivate,rinvigorivano,rinvigorii,rinvigoristi,rinvigorì,rinvigorimmo,rinvigoriste,rinvigorirono,rinvigorirò,rinvigorirai,rinvigorirà,rinvigoriremo,rinvigorirete,rinvigoriranno,rinvigorisca,rinvigorisca,rinvigorisca,rinvigoriamo,rinvigoriate,rinvigoriscano,rinvigorissi,rinvigorissi,rinvigorisse,rinvigorissimo,rinvigoriste,rinvigorissero,rinvigorirei,rinvigoriresti,rinvigorirebbe,rinvigoriremmo,rinvigorireste,rinvigorirebbero,rinvigorisci,rinvigorisca,rinvigoriamo,rinvigorite,rinvigoriscano,ire 2,Y,Y,Y,N,1675
riordinare,"to reorder, tidy up",riordino,riordini,riordina,riordiniamo,riordinate,riordinano,avere,riordinato,riordinando,riordinavo,riordinavi,riordinava,riordinavamo,riordinavate,riordinavano,riordinai,riordinasti,riordinò,riordinammo,riordinaste,riordinarono,riordinerò,riordinerai,riordinerà,riordineremo,riordinerete,riordineranno,riordini,riordini,riordini,riordiniamo,riordiniate,riordinino,riordinassi,riordinassi,riordinasse,riordinassimo,riordinaste,riordinassero,riordinerei,riordineresti,riordinerebbe,riordineremmo,riordinereste,riordinerebbero,riordina,riordini,riordiniamo,riordinate,riordinino,are,Y,Y,Y,N,1379
riorganizzare,to reorganize,riorganizzo,riorganizzi,riorganizza,riorganizziamo,riorganizzate,riorganizzano,avere,riorganizzato,riorganizzando,riorganizzavo,riorganizzavi,riorganizzava,riorganizzavamo,riorganizzavate,riorganizzavano,riorganizzai,riorganizzasti,riorganizzò,riorganizzammo,riorganizzaste,riorganizzarono,riorganizzerò,riorganizzerai,riorganizzerà,riorganizzeremo,riorganizzerete,riorganizzeranno,riorganizzi,riorganizzi,riorganizzi,riorganizziamo,riorganizziate,riorganizzino,riorganizzassi,riorganizzassi,riorganizzasse,riorganizzassimo,riorganizzaste,riorganizzassero,riorganizzerei,riorganizzeresti,riorganizzerebbe,riorganizzeremmo,riorganizzereste,riorganizzerebbero,riorganizza,riorganizzi,riorganizziamo,riorganizzate,riorganizzino,are,Y,Y,Y,N,1136
ripagare,to repay (1),ripago,ripaghi,ripaga,ripaghiamo,ripagate,ripagano,avere,ripagato,ripagando,ripagavo,ripagavi,ripagava,ripagavamo,ripagavate,ripagavano,ripagai,ripagasti,ripagò,ripagammo,ripagaste,ripagarono,ripagherò,ripagherai,ripagherà,ripagheremo,ripagherete,ripagheranno,ripaghi,ripaghi,ripaghi,ripaghiamo,ripaghiate,ripaghino,ripagassi,ripagassi,ripagasse,ripagassimo,ripagaste,ripagassero,ripagherei,ripagheresti,ripagherebbe,ripagheremmo,ripaghereste,ripagherebbero,ripaga,ripaghi,ripaghiamo,ripagate,ripaghino,are,Y,Y,Y,N,980
riparare,to repair,riparo,ripari,ripara,ripariamo,riparate,riparano,avere,riparato,riparando,riparavo,riparavi,riparava,riparavamo,riparavate,riparavano,riparai,riparasti,riparò,riparammo,riparaste,ripararono,riparerò,riparerai,riparerà,ripareremo,riparerete,ripareranno,ripari,ripari,ripari,ripariamo,ripariate,riparino,riparassi,riparassi,riparasse,riparassimo,riparaste,riparassero,riparerei,ripareresti,riparerebbe,ripareremmo,riparereste,riparerebbero,ripara,ripari,ripariamo,riparate,riparino,are,Y,Y,Y,N,234
ripartire,"to restart, start again",ripartisco,ripartisci,ripartisce,ripartiamo,ripartite,ripartiscono,avere,ripartito,ripartendo,ripartivo,ripartivi,ripartiva,ripartivamo,ripartivate,ripartivano,ripartii,ripartisti,ripartì,ripartimmo,ripartiste,ripartirono,ripartirò,ripartirai,ripartirà,ripartiremo,ripartirete,ripartiranno,ripartisca,ripartisca,ripartisca,ripartiamo,ripartiate,ripartiscano,ripartissi,ripartissi,ripartisse,ripartissimo,ripartiste,ripartissero,ripartirei,ripartiresti,ripartirebbe,ripartiremmo,ripartireste,ripartirebbero,ripartisci,ripartisca,ripartiamo,ripartite,ripartiscano,ire 2,Y,Y,Y,N,845
ripassare,"to review, go over",ripasso,ripassi,ripassa,ripassiamo,ripassate,ripassano,avere,ripassato,ripassando,ripassavo,ripassavi,ripassava,ripassavamo,ripassavate,ripassavano,ripassai,ripassasti,ripassò,ripassammo,ripassaste,ripassarono,ripasserò,ripasserai,ripasserà,ripasseremo,ripasserete,ripasseranno,ripassi,ripassi,ripassi,ripassiamo,ripassiate,ripassino,ripassassi,ripassassi,ripassasse,ripassassimo,ripassaste,ripassassero,ripasserei,ripasseresti,ripasserebbe,ripasseremmo,ripassereste,ripasserebbero,ripassa,ripassi,ripassiamo,ripassate,ripassino,are,Y,Y,Y,N,1326
ripensare,to rethink,ripenso,ripensi,ripensa,ripensiamo,ripensate,ripensano,avere,ripensato,ripensando,ripensavo,ripensavi,ripensava,ripensavamo,ripensavate,ripensavano,ripensai,ripensasti,ripensò,ripensammo,ripensaste,ripensarono,ripenserò,ripenserai,ripenserà,ripenseremo,ripenserete,ripenseranno,ripensi,ripensi,ripensi,ripensiamo,ripensiate,ripensino,ripensassi,ripensassi,ripensasse,ripensassimo,ripensaste,ripensassero,ripenserei,ripenseresti,ripenserebbe,ripenseremmo,ripensereste,ripenserebbero,ripensa,ripensi,ripensiamo,ripensate,ripensino,are,Y,Y,Y,N,825
ripercorrere,to retrace,ripercorro,ripercorri,ripercorre,ripercorriamo,ripercorrete,ripercorrono,avere,ripercorso,ripercorrendo,ripercorrevo,ripercorrevi,ripercorreva,ripercorrevamo,ripercorrevate,ripercorrevano,ripercorsi,ripercorresti,ripercorse,ripercorremmo,ripercorreste,ripercorsero,ripercorrerò,ripercorrerai,ripercorrerà,ripercorreremo,ripercorrerete,ripercorreranno,ripercorra,ripercorra,ripercorra,ripercorriamo,ripercorriate,ripercorrano,ripercorressi,ripercorressi,ripercorresse,ripercorressimo,ripercorreste,ripercorressero,ripercorrerei,ripercorreresti,ripercorrerebbe,ripercorreremmo,ripercorrereste,ripercorrerebbero,ripercorri,ripercorra,ripercorriamo,ripercorrete,ripercorrano,ere,N,Y,N,N,1562
ripetere,to repeat,ripeto,ripeti,ripete,ripetiamo,ripetete,ripetono,avere,ripetuto,ripetendo,ripetevo,ripetevi,ripeteva,ripetevamo,ripetevate,ripetevano,ripetei,ripetesti,ripetè,ripetemmo,ripeteste,ripeterono,ripeterò,ripeterai,ripeterà,ripeteremo,ripeterete,ripeteranno,ripeta,ripeta,ripeta,ripetiamo,ripetiate,ripetano,ripetessi,ripetessi,ripetesse,ripetessimo,ripeteste,ripetessero,ripeterei,ripeteresti,ripeterebbe,ripeteremmo,ripetereste,ripeterebbero,ripeti,ripeta,ripetiamo,ripetete,ripetano,ere,Y,Y,Y,Y,293
ripiegare,"to fold, replicate",ripiego,ripieghi,ripiega,ripieghiamo,ripiegate,ripiegano,avere,ripiegato,ripiegando,ripiegavo,ripiegavi,ripiegava,ripiegavamo,ripiegavate,ripiegavano,ripiegai,ripiegasti,ripiegò,ripiegammo,ripiegaste,ripiegarono,ripiegherò,ripiegherai,ripiegherà,ripiegheremo,ripiegherete,ripiegheranno,ripieghi,ripieghi,ripieghi,ripieghiamo,ripieghiate,ripieghino,ripiegassi,ripiegassi,ripiegasse,ripiegassimo,ripiegaste,ripiegassero,ripiegherei,ripiegheresti,ripiegherebbe,ripiegheremmo,ripieghereste,ripiegherebbero,ripiega,ripieghi,ripieghiamo,ripiegate,ripieghino,are,Y,Y,Y,N,1432
ripopolare,to repopulate,ripopolo,ripopoli,ripopola,ripopoliamo,ripopolate,ripopolano,avere,ripopolato,ripopolando,ripopolavo,ripopolavi,ripopolava,ripopolavamo,ripopolavate,ripopolavano,ripopolai,ripopolasti,ripopolò,ripopolammo,ripopolaste,ripopolarono,ripopolerò,ripopolerai,ripopolerà,ripopoleremo,ripopolerete,ripopoleranno,ripopoli,ripopoli,ripopoli,ripopoliamo,ripopoliate,ripopolino,ripopolassi,ripopolassi,ripopolasse,ripopolassimo,ripopolaste,ripopolassero,ripopolerei,ripopoleresti,ripopolerebbe,ripopoleremmo,ripopolereste,ripopolerebbero,ripopola,ripopoli,ripopoliamo,ripopolate,ripopolino,are,Y,Y,Y,N,1970
riporre,"to store, put, place",ripongo,riponi,ripone,riponiamo,riponete,ripongono,avere,riposto,riponendo,riponevo,riponevi,riponeva,riponevamo,riponevate,riponevano,riposi,riponesti,ripose,riponemmo,riponeste,riposero,riporrò,riporrai,riporrà,riporremo,riporrete,riporranno,riponga,riponga,riponga,riponiamo,riponiate,ripongano,riponessi,riponessi,riponesse,riponessimo,riponeste,riponessero,riporrei,riporresti,riporrebbe,riporremmo,riporreste,riporrebbero,riponi,riponga,riponiamo,riponete,ripongano,ere irr,N,N,N,N,1033
riportare,"to report, bring back",riporto,riporti,riporta,riportiamo,riportate,riportano,avere,riportato,riportando,riportavo,riportavi,riportava,riportavamo,riportavate,riportavano,riportai,riportasti,riportò,riportammo,riportaste,riportarono,riporterò,riporterai,riporterà,riporteremo,riporterete,riporteranno,riporti,riporti,riporti,riportiamo,riportiate,riportino,riportassi,riportassi,riportasse,riportassimo,riportaste,riportassero,riporterei,riporteresti,riporterebbe,riporteremmo,riportereste,riporterebbero,riporta,riporti,riportiamo,riportate,riportino,are,Y,Y,Y,Y,470
riposare,to rest,riposo,riposi,riposa,riposiamo,riposate,riposano,avere,riposato,riposando,riposavo,riposavi,riposava,riposavamo,riposavate,riposavano,riposai,riposasti,riposò,riposammo,ripsosaste,riposarono,riposerò,riposerai,riposerà,riposeremo,riposerete,riposeranno,riposi,riposi,riposi,riposiamo,riposiate,riposino,riposassi,riposassi,riposasse,riposassimo,riposaste,riposassero,riposerei,riposeresti,riposerebbe,riposeremmo,riposereste,riposerebbero,riposa,riposi,riposiamo,riposate,riposino,are,Y,Y,Y,N,323
riprendere,"to resume, regain",riprendo,riprendi,riprende,riprendiamo,riprendete,riprendono,avere,ripreso,riprendendo,riprendevo,riprendevi,riprendeva,riprendevamo,riprendevate,riprendevano,ripresi,riprendesti,riprese,riprendemmo,riprendeste,ripresero,riprenderò,riprenderai,riprenderà,riprenderemo,riprenderete,riprenderanno,riprenda,riprenda,riprenda,riprendiamo,riprendiate,riprendano,riprendessi,riprendessi,riprendesse,riprendessimo,riprendeste,riprendessero,riprenderei,riprenderesti,riprenderebbe,riprenderemmo,riprendereste,riprenderebbero,riprendi,riprenda,riprendiamo,riprendete,riprendano,ere,N,Y,N,Y,415
ripristinare,to restore,ripristino,ripristini,ripristina,ripristiniamo,ripristinate,ripristinano,avere,ripristinato,ripristinando,ripristinavo,ripristinavi,ripristinava,ripristinavamo,ripristinavate,ripristinavano,ripristinai,ripristinasti,ripristinò,ripristinammo,ripristinaste,ripristinarono,ripristinerò,ripristinerai,ripristinerà,ripristineremo,ripristinerete,ripristineranno,ripristini,ripristini,ripristini,ripristiniamo,ripristiniate,ripristinino,ripristinassi,ripristinassi,ripristinasse,ripristinassimo,ripristinaste,ripristinassero,ripristinerei,ripristineresti,ripristinerebbe,ripristineremmo,ripristinereste,ripristinerebbero,ripristina,ripristini,ripristiniamo,ripristinate,ripristinino,are,Y,Y,Y,N,276
riprodurre,"to play, reproduce",riproduco,riproduci,riproduce,riproduciamo,riproducete,riproducono,avere,riprodotto,riproducendo,riproducevo,riproducevi,riproduceva,riproducevamo,riproducevate,riproducevano,riprodussi,riproducesti,riprodusse,riproducemmo,riproduceste,riprodussero,riprodurrò,riprodurrai,riprodurrà,riprodurremo,riprodurrete,riprodurranno,riproduca,riproduca,riproduca,riproduciamo,riproduciate,riproducano,riproducessi,riproducessi,riproducesse,riproducessimo,riproduceste,riproducessero,riprodurrei,riprodurresti,riprodurrebbe,riprodurremmo,riprodurreste,riprodurrebbero,riproduci,riproduca,riproduciamo,riproducete,riproducano,ere,N,N,N,N,477
riproporre,to reproduce,ripropongo,riproponi,ripropone,riproponiamo,riproponete,ripropongono,avere,riproposto,riproponendo,riproponevo,riproponevi,riproponeva,riproponevamo,riproponevate,riproponevano,riproposi,riproponesti,ripropose,riproponemmo,riproponeste,riproposero,riproporrò,riproporrai,riproporrà,riproporremo,riproporrete,riproporranno,riproponga,riproponga,riproponga,riproponiamo,riproponiate,ripropongano,riproponessi,riproponessi,riproponesse,riproponessimo,riproponeste,riproponessero,riproporrei,riproporresti,riproporrebbe,riproporremmo,riproporreste,riproporrebbero,riproponi,riproponga,riproponiamo,riproponete,ripropongano,ere irr,N,N,N,N,1990
riprovare,to try again,riprovo,riprovi,riprova,riproviamo,riprovate,riprovano,avere,riprovato,riprovando,riprovavo,riprovavi,riprovava,riprovavamo,riprovavate,riprovavano,riprovai,riprovasti,riprovò,riprovammo,riprovaste,riprovarono,riproverò,riproverai,riproverà,riproveremo,riproverete,riproveranno,riprovi,riprovi,riprovi,riproviamo,riproviate,riprovino,riprovassi,riprovassi,riprovasse,riprovassimo,riprovaste,riprovassero,riproverei,riproveresti,riproverebbe,riproveremmo,riprovereste,riproverebbero,riprova,riprovi,riproviamo,riprovate,riprovino,are,Y,Y,Y,N,1193
ripulire,"to clean up, clear, clense",ripulisco,ripulisci,ripulisce,ripuliamo,ripulite,ripuliscono,avere/essere,ripulito,ripulendo,ripulivo,ripulivi,ripuliva,ripulivamo,ripulivate,ripulivano,ripulii,ripulisti,ripulì,ripulimmo,ripuliste,ripulirono,ripulirò,ripulirai,ripulirà,ripuliremo,ripulirete,ripuliranno,ripulisca,ripulisca,ripulisca,ripuliamo,ripuliate,ripuliscano,ripulissi,ripulissi,ripulisse,ripulissimo,ripuliste,ripulissero,ripulirei,ripuliresti,ripulirebbe,ripuliremmo,ripulireste,ripulirebbero,ripulisci,ripulisca,ripuliamo,ripulite,ripuliscano,ire 2,Y,Y,Y,N,578
riqualificare,to redevelop,riqualifico,riqualifichi,riqualifica,riqualifichiamo,riqualificate,riqualificano,avere,riqualificato,riqualificando,riqualificavo,riqualificavi,riqualificava,riqualificavamo,riqualificavate,riqualificavano,riqualificai,riqualificasti,riqualificò,riqualificammo,riqualificaste,riqualificarono,riqualificherò,riqualificherai,riqualificherà,riqualificheremo,riqualificherete,riqualificheranno,riqualifichi,riqualifichi,riqualifichi,riqualifichiamo,riqualifichiate,riqualifichino,riqualificassi,riqualificassi,riqualificasse,riqualificassimo,riqualificaste,riqualificassero,riqualificherei,riqualificheresti,riqualificherebbe,riqualificheremmo,riqualifichereste,riqualificherebbero,riqualifica,riqualifichi,riqualifichiamo,riqualificate,riqualifichino,are,Y,Y,Y,N,1971
risalire,"to trace, date back",risalgo,risali,risale,risaliamo,risalite,risalgono,avere,risalito,risalendo,risalivo,risalivi,risaliva,risalivamo,risalivate,risalivano,risalii,risalisti,risalì,risalimmo,risaliste,risalirono,risalirò,risalirai,risalirà,risaliremo,risalirete,risaliranno,risalga,risalga,risalga,risaliamo,risaliate,risalgano,risalissi,risalissi,risalisse,risalissimo,risaliste,risalissero,risalirei,risaliresti,risalirebbe,risaliremmo,risalireste,risalirebbero,risali,risalga,risaliamo,risalite,risalgano,ire 1,Y,Y,Y,Y,959
risaltare,"to stand out, highlight",risalto,risalti,risalta,risaltiamo,risaltate,risaltano,avere,risaltato,risaltando,risaltavo,risaltavi,risaltava,risaltavamo,risaltavate,risaltavano,risaltai,risaltasti,risaltò,risaltammo,risaltaste,risaltarono,risalterò,risalterai,risalterà,risalteremo,risalterete,risalteranno,risalti,risalti,risalti,risaltiamo,risaltiate,risaltino,risaltassi,risaltassi,risaltasse,risaltassimo,risaltaste,risaltassero,risalterei,risalteresti,risalterebbe,risalteremmo,risaltereste,risalterebbero,risalta,risalti,risaltiamo,risaltate,risaltino,are,Y,Y,Y,N,1618
risanare,"to heal, restore",risano,risani,risana,risaniamo,risanate,risanano,avere,risanato,risanando,risanavo,risanavi,risanava,risanavamo,risanavate,risanavano,risanai,risanasti,risanò,risanammo,risanaste,risanarono,risanerò,risanerai,risanerà,risaneremo,risanerete,risaneranno,risani,risani,risani,risaniamo,risaniate,risanino,risanassi,risanassi,risanasse,risanassimo,risanaste,risanassero,risanerei,risaneresti,risanerebbe,risaneremmo,risanereste,risanerebbero,risana,risani,risaniamo,risanate,risanino,are,Y,Y,Y,N,1467
risarcire,to compensate (2),risarcisco,risarcisci,risarcisce,risarciamo,risarcite,risarciscono,avere,risarcito,risarcendo,risarcivo,risarcivi,risarciva,risarcivamo,risarcivate,risarcivano,risarcii,risarcisti,risarcì,risarcimmo,risarciste,risarcirono,risarcirò,risarcirai,risarcirà,risarciremo,risarcirete,risarciranno,risarcisca,risarcisca,risarcisca,risarciamo,risarciate,risarciscano,risarcissi,risarcissi,risarcisse,risarcissimo,risarciste,risarcissero,risarcirei,risarciresti,risarcirebbe,risarciremmo,risarcireste,risarcirebbero,risarcisci,risarcisca,risarciamo,risarcite,risarciscano,ire 2,Y,Y,Y,N,1214
riscaldare,"to reheat, warm up",riscaldo,riscaldi,riscalda,riscaldiamo,riscaldate,riscaldano,avere,riscaldato,riscaldando,riscaldavo,riscaldavi,riscaldava,riscaldavamo,riscaldavate,riscaldavano,riscaldai,riscaldasti,riscaldò,riscaldammo,riscaldaste,riscaldarono,riscalderò,riscalderai,riscalderà,riscalderemo,riscalderete,riscalderanno,riscaldi,riscaldi,riscaldi,riscaldiamo,riscaldiate,riscaldino,riscaldassi,riscaldassi,riscaldasse,riscaldassimo,riscaldaste,riscaldassero,riscalderei,riscalderesti,riscalderebbe,riscalderemmo,riscaldereste,riscalderebbero,riscalda,riscaldi,riscaldiamo,riscaldate,riscaldino,are,Y,Y,Y,N,699
riscattare,"to redeem, rescue",riscatto,riscatti,riscatta,riscattiamo,riscattate,riscattano,avere,riscattato,riscattando,riscattavo,riscattavi,riscattava,riscattavamo,riscattavate,riscattavano,riscattai,riscattasti,riscattò,riscattammo,riscattaste,riscattarono,riscatterò,riscatterai,riscatterà,riscatteremo,riscatterete,riscatteranno,riscatti,riscatti,riscatti,riscattiamo,riscattiate,riscattino,riscattassi,riscattassi,riscattasse,riscattassimo,riscattaste,riscattassero,riscatterei,riscatteresti,riscatterebbe,riscatteremmo,riscattereste,riscatterebbero,riscatta,riscatti,riscattiamo,riscattate,riscattino,are,Y,Y,Y,N,1252
rischiare,to risk,rischio,rischi,rischia,rischiamo,rischiate,rischiano,avere,rischiato,rischiando,rischiavo,rischiavi,rischiava,rischiavamo,rischiavate,rischiavano,rischiai,rischiasti,rischiò,rischiammo,rischiaste,rischiarono,rischierò,rischierai,rischierà,rischieremo,rischierete,rischieranno,rischi,rischi,rischi,rischiamo,rischiate,rischino,rischiassi,rischiassi,rischiasse,rischiassimo,rischiaste,rischiassero,rischierei,rischieresti,rischierebbe,rischieremmo,rischiereste,rischierebbero,rischia,rischi,rischiamo,rischiate,rischino,are,Y,Y,Y,Y,377
risciacquare,"to rinse, flush out",risciacquo,risciacqui,risciacqua,risciacquiamo,risciacquate,risciacquano,avere,risciacquato,risciacquando,risciacquavo,risciacquavi,risciacquava,risciacquavamo,risciacquavate,risciacquavano,risciacquai,risciacquasti,risciacquò,risciacquammo,risciacquaste,risciacquarono,risciacquerò,risciacquerai,risciacquerà,risciacqueremo,risciacquerete,risciacqueranno,risciacqui,risciacqui,risciacqui,risciacquiamo,risciacquiate,risciacquino,risciacquassi,risciacquassi,risciacquasse,risciacquassimo,risciacquaste,risciacquassero,risciacquerei,risciacqueresti,risciacquerebbe,risciacqueremmo,risciacquereste,risciacquerebbero,risciacqua,risciacqui,risciacquiamo,risciacquate,risciacquino,are,Y,Y,Y,N,1264
riscontrare,"to find, encounter",riscontro,riscontri,riscontra,riscontriamo,riscontrate,riscontrano,avere,riscontrato,riscontrando,riscontravo,riscontravi,riscontrava,riscontravamo,riscontravate,riscontravano,riscontrai,riscontrasti,riscontrò,riscontrammo,riscontraste,riscontrarono,riscontrerò,riscontrerai,riscontrerà,riscontreremo,riscontrerete,riscontreranno,riscontri,riscontri,riscontri,riscontriamo,riscontriate,riscontrino,riscontrassi,riscontrassi,riscontrasse,riscontrassimo,riscontraste,riscontrassero,riscontrerei,riscontreresti,riscontrerebbe,riscontreremmo,riscontrereste,riscontrerebbero,riscontra,riscontri,riscontriamo,riscontrate,riscontrino,are,Y,Y,Y,N,1647
riscoprire,to rediscover,riscopro,riscopri,riscopre,riscopriamo,riscoprite,riscoprono,avere,riscoperto,riscoprendo,riscoprivo,riscoprivi,riscopriva,riscoprivamo,riscoprivate,riscoprivano,riscoprii,riscopristi,riscoprì,riscoprimmo,riscopriste,riscoprirono,riscoprirò,riscoprirai,riscoprirà,riscopriremo,riscoprirete,riscopriranno,riscopra,riscopra,riscopra,riscopriamo,riscopriate,riscoprano,riscoprissi,riscoprissi,riscoprisse,riscoprissimo,riscopriste,riscoprissero,riscoprirei,riscopriresti,riscoprirebbe,riscopriremmo,riscoprireste,riscoprirebbero,riscopri,riscopra,riscopriamo,riscoprite,riscoprano,ire 1,Y,Y,N,N,709
